District Name,Modal Price (Rs./Quintal),Rainfall,Date,Year,Month,Fertilizer,Petrol Price,Lag_Price,Rolling_Rainfall
7,1500,0,09-01-2023,2023,1,20086.58,104.9,1500,78.10833333
11,1600,0,09-01-2023,2023,1,20086.58,104.9,1600,59.10666667
14,2000,0.161538462,09-01-2023,2023,1,20086.58,104.9,2000,106.0487179
14,2000,0.161538462,09-01-2023,2023,1,20086.58,104.9,2000,8.561538462
1,800,0,09-01-2023,2023,1,20086.58,104.9,800,30.80555556
1,850,0,09-01-2023,2023,1,20086.58,104.9,750,0
6,2000,0,10-01-2021,2021,1,13155.95,84.34,2000,67.37435897
0,2800,0,10-01-2021,2021,1,13155.95,84.34,2500,31.45416667
5,2500,0,10-01-2021,2021,1,13155.95,84.34,2500,0
13,1500,0,10-01-2021,2021,1,13155.95,84.34,1400,144.4814815
7,2000,0,10-01-2021,2021,1,13155.95,84.34,2000,145.6916667
13,1650,0,10-01-2021,2021,1,13155.95,84.34,1600,68.33333333
14,2000,0.592307692,10-01-2021,2021,1,13155.95,84.34,2000,151.2692308
1,1250,0,10-01-2021,2021,1,13155.95,84.34,1250,0.611111111
2,2300,1.75,10-01-2021,2021,1,13155.95,84.34,2200,3.638888889
2,1800,1.75,10-01-2021,2021,1,13155.95,84.34,1700,19.975
12,2500,0,10-01-2021,2021,1,13155.95,84.34,2500,11.28974359
13,1800,0,10-01-2021,2021,1,13155.95,84.34,1800,0
20,1500,0,10-01-2021,2021,1,13155.95,84.34,2500,74.41333333
7,2500,0,10-01-2021,2021,1,13155.95,84.34,2000,171.6388889
13,1500,0,10-01-2021,2021,1,13155.95,84.34,1500,83.03703704
23,1900,6.433333333,10-01-2021,2021,1,13155.95,84.34,1900,128.4888889
14,2000,0.592307692,10-01-2021,2021,1,13155.95,84.34,2000,43.05897436
13,1600,0,10-01-2021,2021,1,13155.95,84.34,1400,184.4074074
13,1600,0,10-01-2021,2021,1,13155.95,84.34,1600,84.59259259
8,2000,2.209090909,10-01-2021,2021,1,13155.95,84.34,1800,192.6330303
3,1700,0,10-01-2021,2021,1,13155.95,84.34,1500,65.92857143
7,2500,0,10-01-2021,2021,1,13155.95,84.34,2500,1.129166667
3,1700,0,10-01-2021,2021,1,13155.95,84.34,1700,82.34285714
14,2000,0.592307692,10-01-2021,2021,1,13155.95,84.34,2000,17.68205128
0,1800,0,10-01-2023,2023,1,20086.58,104.9,1000,2.933333333
5,1500,0,10-01-2023,2023,1,20086.58,104.9,1400,0
14,2000,0.161538462,10-01-2023,2023,1,20086.58,104.9,2000,139.3564103
20,2000,0,10-01-2023,2023,1,20086.58,104.9,2000,113.2733333
3,1200,0.714285714,10-01-2023,2023,1,20086.58,104.9,1200,143.747619
14,2000,0.161538462,10-01-2023,2023,1,20086.58,104.9,2000,17.39487179
